inventor_id,patent_id,patent_date,num_citations,team_size,count_cumulative_inv,count_cumulative_assignee,new_inventor,new_assignee
fl:a_ln:tsukamoto-1,5061620,688716000.0,308.0,4,4,1,4,1
fl:a_ln:tsukamoto-1,5643741,867733200.0,110.0,4,4,1,0,0
fl:a_ln:tsukamoto-1,5716827,887090400.0,88.0,4,4,1,0,0
fl:a_ln:tsukamoto-1,5750397,894949200.0,141.0,4,4,1,0,0
fl:a_ln:tsukamoto-1,5763197,897368400.0,53.0,4,4,1,0,0
fl:a_ln:tsukamoto-1,5914108,930027600.0,92.0,4,4,1,0,0
fl:a_ln:tsukamoto-1,5928638,933051600.0,29.0,3,5,1,1,0
fl:c_ln:baum-5,5061620,688716000.0,308.0,4,4,1,4,1
fl:c_ln:baum-5,5643741,867733200.0,110.0,4,4,1,0,0
fl:c_ln:baum-5,5716827,887090400.0,88.0,4,4,1,0,0
fl:c_ln:baum-5,5750397,894949200.0,141.0,4,4,1,0,0
fl:c_ln:baum-5,5763197,897368400.0,53.0,4,4,1,0,0
fl:c_ln:baum-5,5914108,930027600.0,92.0,4,4,1,0,0
fl:c_ln:baum-5,6066318,959058000.0,10.0,12,15,2,11,1
fl:c_ln:baum-5,6254870,994136400.0,7.0,6,18,2,3,0
fl:c_ln:baum-5,6730303,1083646800.0,0.0,12,18,3,0,1
fl:g_ln:horn-7,4683195,554446800.0,3789.0,6,6,1,6,1
fl:g_ln:horn-7,4800159,601624800.0,1252.0,6,6,1,0,0
fl:g_ln:horn-7,4965188,656658000.0,1500.0,5,7,1,1,0
fl:g_ln:horn-7,5310893,768546000.0,69.0,4,9,2,2,1
fl:g_ln:horn-7,5468613,816933600.0,92.0,4,9,2,0,0
fl:g_ln:horn-7,5538868,838098000.0,9.0,2,10,3,1,1
fl:g_ln:horn-7,5541065,838702800.0,18.0,4,10,3,0,0
fl:g_ln:horn-7,5604099,856245600.0,86.0,4,10,3,0,0
fl:g_ln:horn-7,5665548,873781200.0,6.0,2,10,4,0,1
fl:g_ln:horn-7,5858734,916120800.0,1.0,2,10,5,0,1
fl:g_ln:horn-7,6040166,953618400.0,76.0,5,10,5,0,0
fl:g_ln:horn-7,6194561,983253600.0,2.0,2,10,5,0,0
fl:g_ln:horn-7,6197563,983858400.0,71.0,5,10,5,0,0
fl:g_ln:horn-7,6514736,1044338400.0,27.0,5,10,5,0,0
fl:g_ln:matthews-15,3931476,189756000.0,22.0,1,1,1,1,1
fl:g_ln:matthews-15,3934095,190965600.0,56.0,2,2,1,1,0
fl:g_ln:matthews-15,3937938,192780000.0,67.0,1,2,1,0,0
fl:g_ln:matthews-15,4371752,412927200.0,243.0,3,4,2,2,1
fl:g_ln:matthews-15,4499601,477036000.0,118.0,1,4,3,0,1
fl:g_ln:matthews-15,4580012,512719200.0,125.0,3,4,4,0,1
fl:g_ln:matthews-15,4581486,513324000.0,56.0,3,4,4,0,0
fl:g_ln:matthews-15,4585906,515134800.0,127.0,3,4,4,0,0
fl:g_ln:matthews-15,4602129,522392400.0,225.0,3,4,4,0,0
fl:g_ln:matthews-15,4640991,539330400.0,81.0,3,4,4,0,0
fl:g_ln:matthews-15,4652700,543564000.0,124.0,3,4,4,0,0
fl:g_ln:matthews-15,4682370,553842000.0,154.0,1,4,4,0,0
fl:g_ln:matthews-15,4757525,584686800.0,215.0,3,4,4,0,0
fl:g_ln:matthews-15,4761807,586501200.0,108.0,3,4,4,0,0
fl:g_ln:matthews-15,5086390,697183200.0,115.0,1,4,4,0,0
fl:g_ln:matthews-15,5097416,700812000.0,61.0,1,4,4,0,0
fl:g_ln:matthews-15,5305201,766731600.0,47.0,1,4,4,0,0
fl:g_ln:matthews-15,5793859,902811600.0,73.0,1,4,5,0,1
fl:g_ln:matthews-15,5809111,905835600.0,47.0,1,4,5,0,0
fl:g_ln:matthews-15,6349133,1014098400.0,0.0,6,9,6,5,1
fl:g_ln:matthews-15,6621515,1063688400.0,14.0,2,10,7,1,1
fl:g_ln:matthews-15,7076684,1152594000.0,1.0,2,10,8,0,1
fl:g_ln:matthews-15,7305576,1196748000.0,0.0,2,10,8,0,0
fl:h_ln:boyer-1,4237224,344584800.0,316.0,2,2,1,2,1
fl:h_ln:boyer-1,4468464,462517200.0,109.0,2,2,1,0,0
fl:h_ln:boyer-1,4740470,578034000.0,13.0,2,2,1,0,0
fl:h_ln:erlich-1,4582788,513928800.0,184.0,1,1,1,1,1
fl:h_ln:erlich-1,4683194,554446800.0,312.0,2,2,1,1,0
fl:h_ln:erlich-1,4683195,554446800.0,3789.0,6,6,1,4,0
fl:h_ln:erlich-1,4800159,601624800.0,1252.0,6,6,1,0,0
fl:h_ln:erlich-1,4965188,656658000.0,1500.0,5,7,1,1,0
fl:h_ln:erlich-1,5066584,690530400.0,138.0,2,8,1,1,0
fl:h_ln:erlich-1,5110920,705042000.0,20.0,1,8,1,0,0
fl:h_ln:erlich-1,5310893,768546000.0,69.0,4,10,2,2,1
fl:h_ln:erlich-1,5314809,769755600.0,173.0,2,11,3,1,1
fl:h_ln:erlich-1,5386022,791532000.0,13.0,5,14,3,3,0
fl:h_ln:erlich-1,5451512,811486800.0,24.0,3,15,3,1,0
fl:h_ln:erlich-1,5468613,816933600.0,92.0,4,15,3,0,0
fl:h_ln:erlich-1,5541065,838702800.0,18.0,4,15,3,0,0
fl:h_ln:erlich-1,5567809,845960400.0,23.0,4,16,3,1,0
fl:h_ln:erlich-1,5604099,856245600.0,86.0,4,16,3,0,0
fl:h_ln:erlich-1,5665548,873781200.0,6.0,2,16,4,0,1
fl:h_ln:erlich-1,6040166,953618400.0,76.0,5,16,4,0,0
fl:h_ln:erlich-1,6194561,983253600.0,2.0,2,16,4,0,0
fl:h_ln:erlich-1,6197563,983858400.0,71.0,5,16,4,0,0
fl:h_ln:erlich-1,6514736,1044338400.0,27.0,5,16,4,0,0
fl:h_ln:erlich-1,6656691,1070344800.0,0.0,8,22,4,6,0
fl:h_ln:erlich-1,7205106,1176786000.0,5.0,5,24,4,2,0
fl:h_ln:erlich-1,9005894,1428987600.0,0.0,5,28,6,4,2
fl:h_ln:erlich-1,9752189,1504587600.0,0.0,9,36,7,8,1
fl:h_ln:erlich-1,9914970,1520917200.0,0.0,5,36,7,0,0
fl:i_ln:weissman-1,4786590,596181600.0,4.0,2,2,2,2,2
fl:i_ln:weissman-1,4886743,629445600.0,58.0,3,3,2,1,0
fl:i_ln:weissman-1,4973555,659685600.0,6.0,2,4,2,1,0
fl:i_ln:weissman-1,5061620,688716000.0,308.0,4,7,3,3,1
fl:i_ln:weissman-1,5087570,697788000.0,92.0,4,10,4,3,1
fl:i_ln:weissman-1,5213977,738306000.0,0.0,2,10,4,0,0
fl:i_ln:weissman-1,5362629,784274400.0,5.0,4,13,5,3,1
fl:i_ln:weissman-1,5447852,810277200.0,8.0,2,13,5,0,0
fl:i_ln:weissman-1,5614397,859269600.0,1.0,2,14,5,1,0
fl:i_ln:weissman-1,5643741,867733200.0,110.0,4,14,5,0,0
fl:i_ln:weissman-1,5716827,887090400.0,88.0,4,14,5,0,0
fl:i_ln:weissman-1,5750397,894949200.0,141.0,4,14,5,0,0
fl:i_ln:weissman-1,5763197,897368400.0,53.0,4,14,5,0,0
fl:i_ln:weissman-1,5821108,908254800.0,44.0,2,15,5,1,0
fl:i_ln:weissman-1,5914108,930027600.0,92.0,4,15,5,0,0
fl:i_ln:weissman-1,5928638,933051600.0,29.0,3,16,5,1,0
fl:i_ln:weissman-1,6465249,1034658000.0,12.0,3,18,5,2,0
fl:i_ln:weissman-1,6465247,1034658000.0,42.0,3,19,5,1,0
fl:i_ln:weissman-1,6468794,1035262800.0,18.0,3,20,6,1,1
fl:i_ln:weissman-1,6761883,1089694800.0,22.0,5,22,6,2,0
fl:i_ln:weissman-1,6908763,1119330000.0,9.0,3,23,6,1,0
fl:i_ln:weissman-1,6991939,1138687200.0,40.0,4,26,7,3,1
fl:i_ln:weissman-1,7037719,1146546000.0,3.0,3,26,8,0,1
fl:i_ln:weissman-1,7105150,1158037200.0,2.0,3,26,8,0,0
fl:i_ln:weissman-1,7153686,1167112800.0,3.0,3,26,8,0,0
fl:i_ln:weissman-1,7217568,1179205200.0,35.0,4,28,8,2,0
fl:i_ln:weissman-1,7217565,1179205200.0,4.0,3,28,8,0,0
fl:i_ln:weissman-1,7297329,1195538400.0,0.0,3,28,8,0,0
fl:i_ln:weissman-1,7300760,1196143200.0,3.0,5,28,8,0,0
fl:i_ln:weissman-1,7494807,1235455200.0,0.0,3,29,8,1,0
fl:i_ln:weissman-1,7514229,1239080400.0,15.0,2,29,8,0,0
fl:i_ln:weissman-1,7592174,1253595600.0,7.0,4,31,8,2,0
fl:i_ln:weissman-1,7618654,1258437600.0,5.0,5,31,8,0,0
fl:i_ln:weissman-1,7622255,1259042400.0,2.0,4,31,8,0,0
fl:i_ln:weissman-1,7641897,1262671200.0,10.0,3,33,8,2,0
fl:i_ln:weissman-1,7749754,1278392400.0,0.0,3,35,8,2,0
fl:i_ln:weissman-1,7767410,1280811600.0,2.0,2,36,8,1,0
fl:i_ln:weissman-1,7781179,1282626000.0,3.0,2,37,8,1,0
fl:i_ln:weissman-1,7803783,1285650000.0,18.0,4,39,8,2,0
fl:i_ln:weissman-1,7816088,1287464400.0,2.0,3,39,8,0,0
fl:i_ln:weissman-1,8153388,1334034000.0,2.0,3,39,8,0,0
fl:i_ln:weissman-1,8232071,1343710800.0,1.0,2,39,8,0,0
fl:i_ln:weissman-1,8361736,1359439200.0,19.0,2,40,8,1,0
fl:i_ln:weissman-1,8562997,1382418000.0,20.0,4,42,8,2,0
fl:i_ln:weissman-1,8709429,1398747600.0,6.0,2,42,8,0,0
fl:i_ln:weissman-1,8758750,1403586000.0,15.0,4,43,8,1,0
fl:i_ln:weissman-1,8765390,1404190800.0,0.0,3,44,8,1,0
fl:i_ln:weissman-1,9017675,1430197200.0,10.0,3,45,9,1,1
fl:i_ln:weissman-1,9045734,1433221200.0,0.0,2,46,9,1,0
fl:i_ln:weissman-1,9151760,1444107600.0,4.0,2,47,9,1,0
fl:i_ln:weissman-1,9175079,1446530400.0,0.0,3,49,9,2,0
fl:i_ln:weissman-1,9193955,1448344800.0,1.0,2,49,9,0,0
fl:i_ln:weissman-1,9382320,1467694800.0,6.0,3,49,9,0,0
fl:i_ln:weissman-1,9399682,1469509200.0,5.0,4,49,9,0,0
fl:i_ln:weissman-1,9493575,1479189600.0,4.0,4,49,9,0,0
fl:i_ln:weissman-1,9546206,1484632800.0,1.0,7,55,9,6,0
fl:i_ln:weissman-1,9562087,1486447200.0,1.0,7,55,9,0,0
fl:i_ln:weissman-1,9605076,1490677200.0,0.0,4,55,9,0,0
fl:i_ln:weissman-1,9611329,1491282000.0,0.0,4,55,9,0,0
fl:i_ln:weissman-1,9623079,1492491600.0,0.0,8,60,9,5,0
fl:i_ln:weissman-1,9624305,1492491600.0,0.0,4,60,9,0,0
fl:i_ln:weissman-1,9765143,1505797200.0,0.0,4,60,9,0,0
fl:i_ln:weissman-1,9771428,1506402000.0,0.0,5,64,11,4,2
fl:i_ln:weissman-1,9796781,1508821200.0,1.0,2,64,11,0,0
fl:i_ln:weissman-1,9945870,1523941200.0,0.0,2,64,11,0,0
fl:i_ln:weissman-1,9944911,1523941200.0,2.0,5,66,11,2,0
fl:i_ln:weissman-1,9957576,1525150800.0,0.0,3,68,11,2,0
fl:i_ln:weissman-1,10064925,1536037200.0,0.0,5,69,11,1,0
fl:i_ln:weissman-1,10072091,1536642000.0,0.0,4,72,11,3,0
fl:i_ln:weissman-1,10081680,1537851600.0,0.0,5,73,11,1,0
fl:i_ln:weissman-1,10184004,1548136800.0,0.0,5,73,11,0,0
fl:i_ln:weissman-1,10301387,1559019600.0,0.0,8,73,11,0,0
fl:i_ln:weissman-1,10316094,1560229200.0,0.0,4,73,11,0,0
fl:i_ln:weissman-1,10329354,1561438800.0,0.0,2,74,11,1,0
fl:i_ln:weissman-1,10344094,1562648400.0,0.0,6,77,11,3,0
fl:i_ln:weissman-1,10358472,1563858000.0,0.0,6,78,11,1,0
fl:i_ln:weissman-1,10386361,1566277200.0,0.0,3,80,11,2,0
fl:i_ln:weissman-1,10406179,1568091600.0,0.0,6,83,11,3,0
fl:i_ln:weissman-1,10543235,1580191200.0,0.0,3,85,11,2,0
fl:i_ln:weissman-1,10611842,1586235600.0,0.0,4,85,12,0,1
fl:i_ln:weissman-1,10618976,1586840400.0,0.0,5,86,12,1,0
fl:i_ln:weissman-1,10640561,1588654800.0,0.0,4,86,12,0,0
fl:i_ln:weissman-1,10645912,1589259600.0,0.0,4,89,14,3,2
fl:i_ln:weissman-1,10662242,1590469200.0,0.0,2,89,14,0,0
fl:i_ln:weissman-1,10723803,1595912400.0,0.0,5,89,14,0,0
fl:i_ln:weissman-1,10781256,1600750800.0,0.0,5,89,14,0,0
fl:i_ln:weissman-1,10780117,1600750800.0,0.0,3,90,14,1,0
fl:i_ln:weissman-1,10787640,1601355600.0,0.0,4,93,14,3,0
fl:i_ln:weissman-1,10800830,1602565200.0,0.0,7,93,14,0,0
fl:i_ln:weissman-1,10822411,1604383200.0,0.0,2,93,14,0,0
fl:k_ln:mullis-2,4582789,513928800.0,150.0,4,4,1,4,1
fl:k_ln:mullis-2,4617261,529650000.0,47.0,5,5,1,1,0
fl:k_ln:mullis-2,4683195,554446800.0,3789.0,6,10,1,5,0
fl:k_ln:mullis-2,4683202,554446800.0,4347.0,1,10,1,0,0
fl:k_ln:mullis-2,4705886,563522400.0,19.0,2,10,1,0,0
fl:k_ln:mullis-2,4751313,582267600.0,12.0,2,10,1,0,0
fl:k_ln:mullis-2,4754065,583477200.0,231.0,2,10,1,0,0
fl:k_ln:mullis-2,4800159,601624800.0,1252.0,6,10,1,0,0
fl:k_ln:mullis-2,4803297,602834400.0,10.0,2,10,1,0,0
fl:k_ln:mullis-2,4965188,656658000.0,1500.0,5,11,1,1,0
fl:k_ln:mullis-2,5028792,678430800.0,95.0,1,11,2,0,1
fl:k_ln:mullis-2,5176995,726213600.0,100.0,5,15,3,4,1
fl:k_ln:mullis-2,5187083,729842400.0,74.0,1,15,4,0,1
fl:k_ln:mullis-2,5234824,744958800.0,69.0,1,15,4,0,0
fl:k_ln:mullis-2,5333675,775803600.0,201.0,6,20,4,5,0
fl:k_ln:mullis-2,5386022,791532000.0,13.0,5,20,5,0,1
fl:k_ln:mullis-2,5436115,806648400.0,21.0,1,20,5,0,0
